"comm_name","site","lat_dd","long_dd"
"Razor clam","Crescent City",41.71,-124.1425
"Razor clam","Doran Beach",38.31034,-123.047209
"Razor clam","Humboldt beaches",41.00628675,-124.1206945
"Sea mussel","Bodega Harbor",38.3127654,-123.051303
"Sea mussel","Drakes Bay",38.0333713333333,-122.951204
"Sea mussel","Humboldt Bay",40.8771656666667,-124.175601333333
"Sea mussel","Morro Bay",35.370265,-120.857699
"Sea mussel","San Luis Obispo",35.169492,-120.740824
"Sea mussel","Santa Barbara",34.390778,-119.65926
"Sea mussel","Santa Cruz Wharf",36.957391,-122.017638
"Sea mussel","Tomales Bay",38.2176,-122.9437
"Bay mussel","Agua Hedionda Lagoon",33.141159,-117.338313
"Bay mussel","Long Beach",33.7493,-118.2276
"Bay mussel","Santa Barbara",34.398,-119.779
"Bay mussel","Tomales Bay",38.1652,-122.9001
"Pacific oyster","Agua Hedionda Lagoon",33.141159,-117.338313
"Pacific oyster","Humboldt Bay",40.8323001428571,-124.144391571429
"Pacific oyster","Morro Bay",35.3365266666667,-120.847606666667
"Pacific oyster","Santa Barbara",34.398,-119.779
"Pacific oyster","Tomales Bay",38.1985144285714,-122.929346857143
